Quiz,Question,Answer,Explain
,"Các kỹ thuật I/O truyền thống:
a. Direct memory Access (DMA)
b. PCI / PCI Express
c. Memory Mapped IO (MMIO)
d. Port Mapped IO","Direct memory Access (DMA), PCI / PCI Express","- Direct Memory Access (DMA) (Đúng) → Cho phép thiết bị I/O truyền dữ liệu trực tiếp với bộ nhớ, là kỹ thuật I/O cơ bản.
- PCI / PCI Express (Đúng) → Là bus giao tiếp phần cứng truyền thống, dùng để kết nối thiết bị I/O với hệ thống.
- Memory Mapped IO (MMIO) (Sai) → Đây là kỹ thuật ánh xạ bộ nhớ cho I/O, thường được xem là cơ chế phần mềm/OS, không phải “I/O truyền thống” theo định nghĩa phần cứng.
- Port Mapped IO (Sai) → Cũng là cơ chế ánh xạ cổng, không phải bus/phần cứng truyền thống."
,"Trong kernel space và User space có các lớp, lớp nào được sử dụng để ảo hóa phần lưu trữ
a. Appliaction
b. Block interface
c. File System
d. Device driver","File System, Block interface","a. Application (Sai) → Chỉ chạy chương trình trong user space, không trực tiếp ảo hóa lưu trữ.
b. Block interface (Đúng) → Cung cấp abstraction cho block I/O, giúp kernel và file system không cần biết chi tiết phần cứng, là một lớp ảo hóa quan trọng.
c. File System (Đúng) → Quản lý cấu trúc file và thư mục, ánh xạ dữ liệu lên block của thiết bị, trực tiếp ảo hóa lưu trữ cho ứng dụng.
d. Device driver (Sai) → Điều khiển phần cứng trực tiếp, không ảo hóa lưu trữ mà chỉ thực hiện I/O."
,"Trong ảo hóa nơi lưu trữ ở cấp độ block trên các thiết bị chuyên dụng hoặc các bộ định tuyến thông minh, đây là cách tiếp cận:
a. Guest-based Virtualization
b. Network-based Virtualization
c. Storage-based Virtualization
d. Host-based Virtualization",Network-based Virtualization,
,"System call được sử dụng:
a. Virtual Machine Monitor gửi request Physical Hardware
b. IO Driver gọi các function trong Virtual Machine Monitor
c. Guest OS gọi rountine trong IO Driver
d. Application gọi dịch vụ trong Guest OS",Application gọi dịch vụ trong Guest OS,"a. Virtual Machine Monitor gửi request Physical Hardware (Sai) → Đây là hoạt động của VMM, không phải system call từ ứng dụng.
b. IO Driver gọi các function trong Virtual Machine Monitor (Sai) → Đây là hyper-call hoặc gọi nội bộ kernel, không phải system call.
c. Guest OS gọi routine trong IO Driver (Sai) → Guest OS giao tiếp với driver trực tiếp, không qua system call từ ứng dụng.
d. Application gọi dịch vụ trong Guest OS (Đúng) → System call là cơ chế để ứng dụng user space yêu cầu dịch vụ từ kernel, ví dụ mở file, đọc ghi dữ liệu, hoặc thực hiện I/O."
,"Các tác vụ DMA do phần mềm gây ra
a. PCI-ISA Bridge
b. Synchronous DMA
c. Asynchronous DMA
d. PCI-PCI Bridge",Synchronous DMA,
,"Metadata lưu trữ những thông tin nào
a. Content
b. Attributes
c. Permission
d. Ownership","Attributes, Ownership, Permission",
,"Trong các thành phần bên dưới thành phần nào có bus của máy tính được nối giữa các thiết bị phần cứng
a. Synchronous DMA
b. PCI & PCI Express
c. Aynchronous DMA
d. DMA",PCI & PCI Express,"a. Synchronous DMA (Sai) → Đây là cơ chế truyền dữ liệu trực tiếp, không phải bus vật lý.
b. PCI & PCI Express (Đúng) → PCI/PCIe là bus máy tính, nối các thiết bị phần cứng với nhau và với CPU/memory.
c. Asynchronous DMA (Sai) → Đây là cơ chế DMA không đồng bộ, không phải bus vật lý.
d. DMA (Sai) → DMA là kỹ thuật truyền dữ liệu trực tiếp, không phải bus."
,"Trong kiến trúc SAN - Storage Area Network ảo hóa thiết bị lưu trữ theo cách tiếp cận nào:
a. Storage-based approach
b. Network-based approach
c. Host-based approach
d. File level system approach","Host-based approach, Network-based approach, Storage-based approach",
,,,
Quiz 7,,,
,"Which type of alert in Azure Monitor allows you to create custom queries to analyze log data and trigger alerts based on specific conditions?
a. Smart Detection Alerts
b. Metric Alerts
c. Activity Log Alerts
d. Log Analytics Alerts",Log Analytics Alerts,
,"What type of alert in Azure Monitor is automatically generated for potential security threats identified by Azure Security Center?
a. Log Analytics Alerts
b. Azure Security Center Alerts
c. Metric Alerts
d. Activity Log Alerts",Activity Log Alerts,
,"What is the purpose of deployment credentials in Azure App Service?
a. To secure access to the Azure Portal
b. To configure custom SSL certificates
c. To encrypt sensitive data in the web application
d. To authenticate the deployment source",To authenticate the deployment source,"a. To secure access to the Azure Portal (Sai) → Deployment credentials không dùng để đăng nhập Azure Portal.
b. To configure custom SSL certificates (Sai) → SSL certificate được cấu hình riêng, không liên quan đến deployment credentials.
c. To encrypt sensitive data in the web application (Sai) → Deployment credentials không mã hóa dữ liệu ứng dụng.
d. To authenticate the deployment source (Đúng) → Deployment credentials được dùng để xác thực nguồn triển khai (ví dụ Git, FTP, hoặc các công cụ CI/CD) khi đẩy code lên Azure App Service."
,"Jenkins agents are required for which of the following reasons? (Multiple answers are possible)
a. They help offload the management function from the Jenkins master
b. They allow for parallel builds.
c. They make builds more scalable.
d. They keep the Jenkins master less busy.","They make builds more scalable., They allow for parallel builds., They keep the Jenkins master less busy.",
,"Which deployment method is commonly used to deploy web applications to Azure App Service?
a. SSH
b. Telnet
c. RDP
d. FTP",FTP,"a. SSH (Sai) → SSH có thể dùng để truy cập container hoặc VM, không phải phương thức triển khai chính cho App Service.
b. Telnet (Sai) → Telnet không được dùng để triển khai ứng dụng và không an toàn.
c. RDP (Sai) → RDP dùng để truy cập máy ảo, không triển khai trực tiếp web app.
d. FTP (Đúng) → FTP (hoặc FTPS) là phương thức thường dùng để triển khai web applications lên Azure App Service, cùng với Git hoặc các công cụ CI/CD."
,"Which of the following are CI tools? (Multiple answers are possible)
a. GitHub Actions
b. AWS Cloudbuild
c. Kubernetes
d. Jenkins","Jenkins, GitHub Actions, AWS Cloudbuild",
,"What type of alert in Azure Monitor can be configured to notify you about changes to Azure Active Directory resources, such as user accounts or groups?
a. Azure AD Alerts
b. Log Analytics Alerts
c. Activity Log Alerts
d. Metric Alerts",Azure AD Alerts,
,"What is the purpose of deployment slots in Azure App Service?
a. To create staging environments for testing
b. To manage environment variables
c. To provide additional storage for web applications
d. To configure custom domain names",To create staging environments for testing,"a. To create staging environments for testing (Đúng) → Deployment slots cho phép bạn tạo các môi trường staging hoặc testing để triển khai ứng dụng trước khi hoán đổi sang production mà không gây gián đoạn.
b. To manage environment variables (Sai) → Biến môi trường được quản lý trực tiếp trong App Service, không phải mục đích chính của deployment slots.
c. To provide additional storage for web applications (Sai) → Deployment slots không cung cấp thêm storage.
d. To configure custom domain names (Sai) → Domain name cấu hình riêng cho App Service, không liên quan đến deployment slots."
,"What is Azure App Service primarily used for?
a. Building and hosting web applications
b. Managing databases
c. Hosting virtual machines
d. Storing and processing big data",Building and hosting web applications,
,"Mức độ lưu trữ mặc định của hàm cache() là gì?
a. MEMORY_AND_DISK
b. MEMORY_ONLY_SER
c. DISK_ONLY
d. MEMORY_ONLY",MEMORY_ONLY,"a. MEMORY_AND_DISK (Sai) → Đây là một chế độ cache, nhưng không phải mặc định.
b. MEMORY_ONLY_SER (Sai) → Đây là chế độ lưu trữ tuần tự hóa trong bộ nhớ, không phải mặc định.
c. DISK_ONLY (Sai) → Chỉ lưu trên đĩa, không phải mặc định.
d. MEMORY_ONLY (Đúng) → Mức lưu trữ mặc định của cache() trong Spark là MEMORY_ONLY, tức lưu giữ RDD trong bộ nhớ mà không ghi ra đĩa."
,"What type of alert in Azure Monitor is triggered based on specific patterns or anomalies detected in log data?
a. Log Analytics Alerts
b. Activity Log Alerts
c. Anomaly Alerts
d. Metric Alerts",Anomaly Alerts,
,"Which Azure service allows you to visualize monitoring data collected by Azure Monitor?
a. Azure Dashboards 
b. Azure Event Hubs
c. Azure Data Factory
d. Azure Data Lake Storage",Azure Dashboards,
,"Which type of alert in Azure Monitor is triggered based on the health status of individual Azure resources?
a. Activity Log Alerts
b. Resource Health Alerts
c. Azure Security Center Alerts
d. Metric Alerts",Resource Health Alerts,
,"What is the primary objective of monitoring resources with Azure Monitor?
a. To manage billing and costs
b. To ensure data security
c. To optimize resource usage and performance
d. To track user logins",To optimize resource usage and performance,"a. To manage billing and costs (Sai) → Azure Monitor không trực tiếp quản lý chi phí; đó là vai trò của Azure Cost Management.
b. To ensure data security (Sai) → Bảo mật dữ liệu liên quan đến Azure Security Center, không phải mục tiêu chính của Monitor.
c. To optimize resource usage and performance (Đúng) → Mục tiêu chính của Azure Monitor là giám sát, thu thập dữ liệu và cảnh báo để tối ưu hiệu năng và sử dụng tài nguyên.
d. To track user logins (Sai) → Theo dõi đăng nhập người dùng thường thực hiện bằng Azure AD Sign-in Logs, không phải Monitor."
,"Which Azure service provides a fully managed platform for building, deploying, and scaling web applications?
a. Azure Kubernetes Service
b. Azure Functions
c. Azure Virtual Machines
d. Azure App Service",Azure App Service,"a. Azure Kubernetes Service (Sai) → AKS là dịch vụ quản lý container orchestration, không phải nền tảng web app fully managed.
b. Azure Functions (Sai) → Functions là serverless compute, thích hợp cho event-driven workloads, không phải full web app platform.
c. Azure Virtual Machines (Sai) → VM cung cấp infrastructure as a service, bạn vẫn phải quản lý OS và runtime.
d. Azure App Service (Đúng) → App Service là nền tảng fully managed để xây dựng, triển khai và mở rộng web applications mà không cần quản lý hạ tầng."
,"What is the purpose of creating alerts in Azure Monitor?
a. To manage billing and costs
b. To send notifications when certain conditions are met
c. To automatically fix issues
d. To analyze historical data",To send notifications when certain conditions are met,
,"How often are metrics collected by Azure Monitor?
a. Every hour
b. Every day
c. On demand
d. Every minute",Every minute,"a. Every hour (Sai) → Azure Monitor không giới hạn thu thập metric theo giờ.
b. Every day (Sai) → Metric không được thu thập hàng ngày, dữ liệu sẽ quá thưa để giám sát hiệu quả.
c. On demand (Sai) → Metric được thu thập tự động, không phải chỉ khi yêu cầu.
d. Every minute (Đúng) → Metrics trong Azure Monitor thường được thu thập mỗi phút, cho phép giám sát hiệu năng và trạng thái tài nguyên gần thời gian thực."
,"What type of alert in Azure Monitor can be configured to notify you about changes to Azure resource configurations?
a. Log Analytics Alerts
b. Metric Alerts
c. Service Health Alerts
d. Activity Log Alerts",Activity Log Alerts,
,"What is the purpose of deployment history in Azure App Service?
a. To track changes to the web application code
b. To track deployment activities and rollback changes if necessary
c. To monitor the performance of the web application
d. To manage custom domain names",To manage custom domain names,
,"Which query language is used to analyze monitoring data in Azure Log Analytics?
a. SQL
b. Python
c. JavaScript
d. Kusto Query Language (KQL)",Kusto Query Language (KQL),
,"What type of alert in Azure Monitor can be used to notify you about potential security vulnerabilities or threats detected in your Azure
environment?
a. Activity Log Alerts
b. Azure Security Center Alerts
c. Log Analytics Alerts
d. Metric Alerts",Azure Security Center Alerts,
,"Which type of alert in Azure Monitor is triggered based on the health status of Azure virtual machines and other compute resources?
a. Metric Alerts
b. Resource Health Alerts
c. Log Analytics Alerts
d. Activity Log Alerts",Resource Health Alerts,
,"Which of the following programming languages is NOT supported by Azure App Service?
a. C#
b. PHP
c. Swift
d. Java",Swift,
,"What type of alert in Azure Monitor can be configured to notify you about changes to Azure Active Directory resources, such as user accounts or groups?
a. Azure AD Alerts
b. Activity Log Alerts
c. Metric Alerts
d. Log Analytics Alerts",Azure AD Alerts,
,"What type of alert in Azure Monitor can be used to notify you about potential security vulnerabilities or threats detected in your Azure environment?
a. Activity Log Alerts
b. Metric Alerts
c. Azure Security Center Alerts
d. Log Analytics Alerts",Azure Security Center Alerts,
,,,
Quiz 8,,,
,"Which Azure service provides built-in monitoring and logging capabilities for Azure Load Balancer?
a. Azure Log Analytics
b. Azure Security Center
c. Azure Monitor
d. Azure Application Insights",Azure Log Analytics,
,"Which Azure service can be integrated with Azure Load Balancer for automatic scaling based on traffic load?
a. Azure Monitor
b. Azure Autoscale
c. Azure Traffic Manager
d. Azure Security Center",Azure Autoscale,
,"Which layer of the OSI model does Azure Load Balancer operate at?
a. Layer 7 (Application Layer)
b. Layer 4 (Transport Layer)
c. Layer 3 (Network Layer)
d. Layer 2 (Data Link Layer)",Layer 4 (Transport Layer),"a. Layer 7 (Application Layer) (Sai) → Layer 7 xử lý giao thức ứng dụng (HTTP, HTTPS), Azure Application Gateway hoạt động ở Layer 7, không phải Load Balancer.
b. Layer 4 (Transport Layer) (Đúng) → Azure Load Balancer hoạt động ở Layer 4, dựa trên TCP/UDP để phân phối lưu lượng đến các máy chủ backend.
c. Layer 3 (Network Layer) (Sai) → Layer 3 xử lý định tuyến IP, nhưng Load Balancer phân phối theo TCP/UDP chứ không chỉ IP.
d. Layer 2 (Data Link Layer) (Sai) → Layer 2 liên quan đến MAC, không phải Azure Load Balancer."
,"Which layer of the OSI model does Azure Application Gateway operate at?
a. Layer 7 (Application Layer)
b. Layer 2 (Data Link Layer)
c. Layer 3 (Network Layer)
d. Layer 4 (Transport Layer)",Layer 7 (Application Layer),"a. Layer 7 (Application Layer) (Đúng) → Azure Application Gateway hoạt động ở Layer 7, xử lý lưu lượng HTTP/HTTPS, hỗ trợ URL-based routing, SSL termination, Web Application Firewall.
b. Layer 2 (Data Link Layer) (Sai) → Layer 2 liên quan đến MAC và switch, không phải Application Gateway.
c. Layer 3 (Network Layer) (Sai) → Layer 3 xử lý IP routing, Application Gateway không hoạt động ở mức này.
d. Layer 4 (Transport Layer) (Sai) → Layer 4 xử lý TCP/UDP, Azure Load Balancer mới hoạt động ở đây."
,"What is the primary input source for Azure Load Balancer?
a. Structured data in Azure SQL Database
b. Static datasets in Azure Data Lake Storage
c. Incoming network traffic
d. Files stored in Azure Blob Storage",Incoming network traffic,
,"What is the primary purpose of a load balancer in Microsoft Azure?
a. Data storage
b. Distributing incoming network traffic across multiple servers
c. Managing virtual machines
d. Network monitoring",Distributing incoming network traffic across multiple servers,
,"Các công việc cần thực hiện ảo hóa đường dữ liệu
a. Virtual forwarding instance (VFI)
b. Hop to cloud case
c. Hop to hop case
d. Virtual routing and forwarding (VRF)","Hop to hop case, Hop to cloud case",
,"What is the purpose of load balancing rules in Azure Load Balancer?
a. To define how incoming traffic is distributed to backend servers
b. To configure health probes
c. To configure custom domain names
d. To define the backend servers that receive traffic",To define how incoming traffic is distributed to backend servers,
,"Which routing mode of Azure Application Gateway allows routing based on the content of the request?
a. URL-based routing
b. Cookie-based routing
c. Round-robin routing
d. Basic routing",URL-based routing,
,"VLAN được ảo hóa ở lớp:
a. 4
b. 3
c. 2
d. 1",2,"a. 4 (Sai) → Layer 4 là Transport Layer, liên quan TCP/UDP, không phải VLAN.
b. 3 (Sai) → Layer 3 là Network Layer, xử lý IP routing, không trực tiếp ảo hóa VLAN.
c. 2 (Đúng) → VLAN hoạt động ở Layer 2 (Data Link Layer), ảo hóa mạng LAN bằng cách tách các broadcast domain.
d. 1 (Sai) → Layer 1 là Physical Layer, liên quan tới tín hiệu vật lý, không ảo hóa VLAN."
,"Điều nào sau đây được tối ưu hóa để lưu trữ lượng lớn dữ liệu phi cấu trúc, chẳng hạn như video và hình ảnh?
a. Log
b. Queue
c. File
d. Blod",Blod,
,"How does Azure Application Gateway improve security for web applications?
a. By blocking all incoming traffic
b. By limiting the number of concurrent connections
c. By implementing WAF (Web Application Firewall) policies
d. By encrypting all traffic",By implementing WAF (Web Application Firewall) policies,
,"Trong các thành phần sau, thành phần nào dùng để chuyển tiếp chuyển mạch gói:
a. Linux bridge
b. Hypervisor
c. TUN/TAP
d. Virtual NIC",Linux bridge,
,"Which Azure service is typically used for configuring routing and implementing custom network paths in a virtual network?
a. Azure Load Balancer
b. Azure Virtual Network Gateway
c. Azure Traffic Manager
d. Azure Route Table",Azure Route Table,"a. Azure Load Balancer (Sai) → Chỉ phân phối lưu lượng đến các VM, không dùng để cấu hình routing.
b. Azure Virtual Network Gateway (Sai) → Dùng để kết nối VNet với on-premises hoặc VPN, không trực tiếp cấu hình đường đi tùy chỉnh trong VNet.
c. Azure Traffic Manager (Sai) → Dùng DNS-based traffic routing cho ứng dụng, không cấu hình routing trong VNet.
d. Azure Route Table (Đúng) → Route Table cho phép bạn tạo các route tùy chỉnh trong VNet, xác định đường đi của lưu lượng mạng giữa subnets hoặc đến appliance."
,"What type of traffic does Azure Application Gateway primarily handle?
a. TCP
b. HTTP/HTTPS
c. ICMP
d. UDP",HTTP/HTTPS,
,"What Azure service is commonly used for multiple-site hosting to distribute traffic across different geographical locations?
a. Azure Virtual Network
b. Azure Traffic Manager
c. Azure Application Gateway
d. Azure Load Balancer",Azure Traffic Manager,
,"Trong ảo hóa mạng bên ngoài, thực hiện ảo hóa mấy thành phần:
a. Ảo hóa Router
b. Ảo hóa mô hình OSI
c. Ảo hóa Switch
d. Ảo hóa gói tin","Ảo hóa Switch, Ảo hóa Router",
,"How does Azure Load Balancer handle health probes?
a. By monitoring CPU usage of backend servers
b. By analyzing network traffic patterns
c. By sending periodic health check requests to backend servers
d. By blocking suspicious IP addresses",By sending periodic health check requests to backend servers,
,"What is Azure Load Balancing used for?
a. Optimizing database performance in Azure SQL Database
b. Securing data at rest in Azure storage
c. Distributing network traffic across multiple servers or virtual machines
d. Managing DNS configurations",Distributing network traffic across multiple servers or virtual machines,
,"What is the primary benefit of using Azure Load Balancer over traditional hardware load balancers?
a. Higher scalability
b. Easier implementation
c. Better fault tolerance
d. Lower cost",Higher scalability,
,,,
Quiz 9,,,
,"Trong thiết kế hệ thống distributed file system thì đặc trưng nào cho phép tất cả client lấy cùng dữ liệu trong suốt thời gian
a. Namespace
b. Parallel
c. Consistency
d. Scope",Consistency,"a. Namespace (Sai) → Namespace chỉ định tên và tổ chức file trong hệ thống, không đảm bảo tính đồng bộ dữ liệu.
b. Parallel (Sai) → Parallel đề cập đến khả năng truy cập đồng thời, không đảm bảo client nhận dữ liệu giống nhau.
c. Consistency (Đúng) → Consistency đảm bảo tất cả client luôn truy xuất cùng một dữ liệu và thấy các thay đổi một cách nhất quán trong distributed file system.
d. Scope (Sai) → Scope xác định phạm vi truy cập, không đảm bảo tính đồng bộ dữ liệu."
,"Những đặc trưng lưu trữ dữ liệu của Hadoop File System
a. Conherence - cho phép ghi nhiều đọc nhiều cùng 1 lúc
b. Truy xuất dữ liệu Streaming
c. Môi trường không đồng nhất
d. Tập dữ liệu lớn","Tập dữ liệu lớn, Môi trường không đồng nhất, Truy xuất dữ liệu Streaming",
,"Trong các module bên dưới đặc trưng nào dùng để xác thực và kiểm soát quyền truy cập vào file.
a. Security
b. Namespace
c. Consistency
d. Reliability",Security,
,"Distributed File System thường được sử dụng khi nào?
a. Nhiều người thực hiện trên cùng file
b. Muốn truy cập dữ liệu từ xa trên các máy có vị trí địa lý xa nhau
c. Trong trường họp backup dữ liệu
d. Kích thước dữ liệu nhỏ hơn kích thước lưu trữ của máy","- Nhiều người thực hiện trên cùng file, 
- Trong trường họp backup dữ liệu, 
- Muốn truy cập dữ liệu từ xa trên các máy có vị trí địa lý xa nhau",
,"Các chức năng của DataNode trong Hadoop File System
a. Thực hiện tạo, xóa, sao chép các block trong hệ thống
b. Thực hiện các tác vụ liên quan đến MetaData
c. Thực hiện đọc ghi file theo yêu cầu của client
d. Quản lý MetaData","Thực hiện đọc ghi file theo yêu cầu của client, Thực hiện tạo, xóa, sao chép các block trong hệ thống","a. Thực hiện tạo, xóa, sao chép các block trong hệ thống (Đúng) → DataNode quản lý các block dữ liệu, thực hiện tạo, xóa, sao chép khi cần thiết.
b. Thực hiện các tác vụ liên quan đến MetaData (Sai) → Metadata do NameNode quản lý, không phải DataNode.
c. Thực hiện đọc ghi file theo yêu cầu của client (Đúng) → DataNode chịu trách nhiệm trả dữ liệu và ghi dữ liệu khi client yêu cầu.
d. Quản lý MetaData (Sai) → Metadata được quản lý bởi NameNode, DataNode không thực hiện."
,"From the Option mentioned below which of the following files is configuration files for Hadoop?
a. config.hdo
b. core-site.xml
c. mapred-site.xml
d. hdfs-site.xml","core-site.xml, mapred-site.xml, hdfs-site.xml",
,"Trong các hàm sau, hàm nào được GFS Client đọc dữ liệu từ chunkserver
a. Open (name, read)
b. Read (chunk_handle, chunk_locations)
c. Read (chunk, handle, byte_range)
d. Read (handle, offset, length, buffer)","Read (chunk, handle, byte_range)",
,"What are the data components of Hadoop
a. Hive
b. HDFS
c. Pig
d. MapReduce","Pig, Hive",
,"Trong quá trình thiết kế distributed file system thì đặc trưng nào cần chú ý khi cung cấp chức nhiều client truy xuất đồng thời vào file
a. Namespace
b. Scope
c. Consistency
d. Parallel",Parallel,
,"Vai trò của các thành phần Google File System thì thành phần nào dùng để lưu trữ dữ liệu
a. ChunkServer
b. Master
c. DataNode
d. Client",ChunkServer,"a. ChunkServer (Đúng) → Trong Google File System (GFS), ChunkServer chịu trách nhiệm lưu trữ dữ liệu thành các chunk.
b. Master (Sai) → Master quản lý metadata, không lưu trữ dữ liệu thực tế.
c. DataNode (Sai) → DataNode là thành phần của Hadoop HDFS, không phải GFS.
d. Client (Sai) → Client chỉ truy xuất dữ liệu, không lưu trữ."
,"How many splits (input) can be made by the Hadoop framework?
a. 4
b. 5
c. 3
d. 2",5,
,"Metadata trong GFS Master lưu trữ thông tin nào?
a. Ánh xạ từ file xuống chunks
b. Vị trí hiện tại của các chunks
c. Lưu trữ các block của file
d. Thông tin truy xuất","Ánh xạ từ file xuống chunks, Vị trí hiện tại của các chunks, Thông tin truy xuất",
,"What are the formats for input in Hadoop?
a. Text input format
b. Document column format
c. Sequence file input format.
d. Key-value input format","Text input format, Key-value input format, Sequence file input format.",
